Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR32796412,AMPLICON,229,316644871,PRJNA1238906,SAMN47486721,SARS-CoV-2: wastewater surveillance,124611605,CANADIAN RESEARCH INSTITUTE FOR FOOD SAFETY,2022-11-10,public,"run.zq,sra,activ_sars2_vcf,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,gs.US,ncbi.public",SRX28080425,Canada,North America,Canada: Toronto,Illumina MiniSeq,Environmental sample 11,A20,PAIRED,RANDOM,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-03-20T00:00:00Z,2025-03-20T14:56:00Z,1,At20221110,SRP571954,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR32796413,AMPLICON,198,290486003,PRJNA1238906,SAMN47486796,SARS-CoV-2: wastewater surveillance,116404843,CANADIAN RESEARCH INSTITUTE FOR FOOD SAFETY,2023-01-11,public,"sra,fastq,run.zq,activ_sars2_vcf","ncbi,gs,s3","ncbi.public,gs.us-east1,gs.US,s3.us-east-1",SRX28080424,Canada,North America,Canada: Toronto,Illumina MiniSeq,Environmental sample 87,A95,PAIRED,RANDOM,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-03-20T00:00:00Z,2025-03-20T14:57:00Z,1,At20230111,SRP571954,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR32796414,AMPLICON,190,262190834,PRJNA1238906,SAMN47486795,SARS-CoV-2: wastewater surveillance,110226189,CANADIAN RESEARCH INSTITUTE FOR FOOD SAFETY,2023-01-11,public,"sra,activ_sars2_vcf,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.US,gs.us-east1,s3.us-east-1",SRX28080423,Canada,North America,Canada: Toronto,Illumina MiniSeq,Environmental sample 86,A94,PAIRED,RANDOM,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-03-20T00:00:00Z,2025-03-20T14:57:00Z,1,As20230111,SRP571954,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR32796415,AMPLICON,180,244365331,PRJNA1238906,SAMN47486794,SARS-CoV-2: wastewater surveillance,102802535,CANADIAN RESEARCH INSTITUTE FOR FOOD SAFETY,2023-01-10,public,"activ_sars2_vcf,sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",SRX28080422,Canada,North America,Canada: Toronto,Illumina MiniSeq,Environmental sample 85,A93,PAIRED,RANDOM,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-03-20T00:00:00Z,2025-03-20T14:57:00Z,1,At20230110,SRP571954,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR32796416,AMPLICON,202,336951684,PRJNA1238906,SAMN47486793,SARS-CoV-2: wastewater surveillance,137116739,CANADIAN RESEARCH INSTITUTE FOR FOOD SAFETY,2023-01-10,public,"sra,activ_sars2_vcf,fastq,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,gs.us-east1,ncbi.public",SRX28080421,Canada,North America,Canada: Toronto,Illumina MiniSeq,Environmental sample 84,A92,PAIRED,RANDOM,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-03-20T00:00:00Z,2025-03-20T14:57:00Z,1,As20230110,SRP571954,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR32796417,AMPLICON,202,291642684,PRJNA1238906,SAMN47486792,SARS-CoV-2: wastewater surveillance,118595806,CANADIAN RESEARCH INSTITUTE FOR FOOD SAFETY,2023-01-09,public,"run.zq,activ_sars2_vcf,sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,gs.US,ncbi.public",SRX28080420,Canada,North America,Canada: Toronto,Illumina MiniSeq,Environmental sample 83,A91,PAIRED,RANDOM,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-03-20T00:00:00Z,2025-03-20T14:57:00Z,1,At20230109,SRP571954,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR32796418,AMPLICON,197,346900795,PRJNA1238906,SAMN47486720,SARS-CoV-2: wastewater surveillance,128351362,CANADIAN RESEARCH INSTITUTE FOR FOOD SAFETY,2022-11-09,public,"fastq,sra,activ_sars2_vcf,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1,gs.US",SRX28080419,Canada,North America,Canada: Toronto,Illumina MiniSeq,Environmental sample 9,A19,PAIRED,RANDOM,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-03-20T00:00:00Z,2025-03-20T14:57:00Z,1,At20221109,SRP571954,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR32796419,AMPLICON,188,355747610,PRJNA1238906,SAMN47486791,SARS-CoV-2: wastewater surveillance,143666288,CANADIAN RESEARCH INSTITUTE FOR FOOD SAFETY,2023-01-09,public,"activ_sars2_vcf,run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,gs.us-east1,s3.us-east-1",SRX28080418,Canada,North America,Canada: Toronto,Illumina MiniSeq,Environmental sample 82,A90,PAIRED,RANDOM,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-03-20T00:00:00Z,2025-03-20T14:57:00Z,1,As20230109,SRP571954,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR32796420,AMPLICON,208,372837768,PRJNA1238906,SAMN47486790,SARS-CoV-2: wastewater surveillance,149547281,CANADIAN RESEARCH INSTITUTE FOR FOOD SAFETY,2023-01-06,public,"sra,activ_sars2_vcf,fastq,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1,gs.us-east1",SRX28080417,Canada,North America,Canada: Toronto,Illumina MiniSeq,Environmental sample 81,A89,PAIRED,RANDOM,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-03-20T00:00:00Z,2025-03-20T14:57:00Z,1,At20230106,SRP571954,NA,24,raw wastewater,composite,yes,SARS-CoV-2
SRR32796421,AMPLICON,190,343199470,PRJNA1238906,SAMN47486789,SARS-CoV-2: wastewater surveillance,138152459,CANADIAN RESEARCH INSTITUTE FOR FOOD SAFETY,2023-01-06,public,"sra,fastq,activ_sars2_vcf,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1,gs.US",SRX28080416,Canada,North America,Canada: Toronto,Illumina MiniSeq,Environmental sample 80,A88,PAIRED,RANDOM,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-03-20T00:00:00Z,2025-03-20T14:57:00Z,1,As20230106,SRP571954,NA,24,raw wastewater,composite,yes,SARS-CoV-2
