Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1
SRR27667182,AMPLICON,69,42490253,PRJNA1067101,SAMN39514685,SARS-CoV-2: wastewater surveillance,16724383,"SYMBIOSIS SCHOOL OF BIOLOGICAL SCINECES, SYMBIOSIS INTERNATIONAL (DEEMED UNIVERSITY)",2022-05-19,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX23335163,India,Asia,"India: Dapodi-Old Sangvi Bridge\, Pune\, Maharashtra",NextSeq 550,wastewater,IP12827,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-01-20T00:00:00Z,2024-01-20T11:35:00Z,1,IP12827,SRP484915,NA,NA,NA,NA,yes,SARS-CoV-2
SRR27667183,AMPLICON,70,329481777,PRJNA1067101,SAMN39514684,SARS-CoV-2: wastewater surveillance,144920774,"SYMBIOSIS SCHOOL OF BIOLOGICAL SCINECES, SYMBIOSIS INTERNATIONAL (DEEMED UNIVERSITY)",2021-12-30,public,"activ_sars2_vcf,sra,run.zq,fastq","s3,gs,ncbi","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX23335162,India,Asia,"India: Dapodi-Old Sangvi Bridge\, Pune\, Maharashtra",NextSeq 550,wastewater,IP08295,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-01-20T00:00:00Z,2024-01-20T11:36:00Z,1,IP08295,SRP484915,NA,NA,NA,NA,yes,SARS-CoV-2
SRR27667184,AMPLICON,70,414650049,PRJNA1067101,SAMN39514683,SARS-CoV-2: wastewater surveillance,178370533,"SYMBIOSIS SCHOOL OF BIOLOGICAL SCINECES, SYMBIOSIS INTERNATIONAL (DEEMED UNIVERSITY)",2021-12-09,public,"sra,run.zq,activ_sars2_vcf,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public,gs.US",SRX23335161,India,Asia,"India: Dapodi-Old Sangvi Bridge\, Pune\, Maharashtra",NextSeq 550,wastewater,IP05808,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-01-20T00:00:00Z,2024-01-20T11:36:00Z,1,IP05808,SRP484915,NA,NA,NA,NA,yes,SARS-CoV-2
SRR27667185,AMPLICON,69,105128571,PRJNA1067101,SAMN39514682,SARS-CoV-2: wastewater surveillance,45020693,"SYMBIOSIS SCHOOL OF BIOLOGICAL SCINECES, SYMBIOSIS INTERNATIONAL (DEEMED UNIVERSITY)",2022-07-05,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX23335160,India,Asia,"India: Someshwarwadi\, Pune\, Maharashtra",NextSeq 550,wastewater,IP13814,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-01-20T00:00:00Z,2024-01-20T11:35:00Z,1,IP13814,SRP484915,NA,NA,NA,NA,yes,SARS-CoV-2
SRR27667186,AMPLICON,71,110873081,PRJNA1067101,SAMN39514681,SARS-CoV-2: wastewater surveillance,46168854,"SYMBIOSIS SCHOOL OF BIOLOGICAL SCINECES, SYMBIOSIS INTERNATIONAL (DEEMED UNIVERSITY)",2022-06-28,public,"run.zq,sra,fastq,activ_sars2_vcf","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US,gs.us-east1",SRX23335159,India,Asia,"India: Someshwarwadi\, Pune\, Maharashtra",NextSeq 550,wastewater,IP13846,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-01-20T00:00:00Z,2024-01-20T11:35:00Z,1,IP13846,SRP484915,NA,NA,NA,NA,yes,SARS-CoV-2
SRR27667187,AMPLICON,71,80741474,PRJNA1067101,SAMN39514680,SARS-CoV-2: wastewater surveillance,33782737,"SYMBIOSIS SCHOOL OF BIOLOGICAL SCINECES, SYMBIOSIS INTERNATIONAL (DEEMED UNIVERSITY)",2022-06-07,public,"sra,fastq,run.zq,activ_sars2_vcf","s3,ncbi,gs","s3.us-east-1,gs.us-east1,gs.US,ncbi.public",SRX23335158,India,Asia,"India: Someshwarwadi\, Pune\, Maharashtra",NextSeq 550,wastewater,IP13924,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-01-20T00:00:00Z,2024-01-20T11:35:00Z,1,IP13924,SRP484915,NA,NA,NA,NA,yes,SARS-CoV-2
SRR27667188,AMPLICON,70,270034656,PRJNA1067101,SAMN39514653,SARS-CoV-2: wastewater surveillance,117677904,"SYMBIOSIS SCHOOL OF BIOLOGICAL SCINECES, SYMBIOSIS INTERNATIONAL (DEEMED UNIVERSITY)",2022-01-11,public,"fastq,activ_sars2_vcf,sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,gs.us-east1,s3.us-east-1",SRX23335157,India,Asia,"India: Baner-Balewadi\, Pune\, Maharashtra",NextSeq 550,wastewater,IP08501,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-01-20T00:00:00Z,2024-01-20T11:36:00Z,1,IP08501,SRP484915,NA,NA,NA,NA,yes,SARS-CoV-2
SRR27667189,AMPLICON,70,271223017,PRJNA1067101,SAMN39514679,SARS-CoV-2: wastewater surveillance,119499745,"SYMBIOSIS SCHOOL OF BIOLOGICAL SCINECES, SYMBIOSIS INTERNATIONAL (DEEMED UNIVERSITY)",2022-01-11,public,"fastq,run.zq,sra,activ_sars2_vcf","gs,s3,ncbi","gs.US,ncbi.public,gs.us-east1,s3.us-east-1",SRX23335156,India,Asia,"India: Someshwarwadi\, Pune\, Maharashtra",NextSeq 550,wastewater,IP08500,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-01-20T00:00:00Z,2024-01-20T11:36:00Z,1,IP08500,SRP484915,NA,NA,NA,NA,yes,SARS-CoV-2
SRR27667190,AMPLICON,69,198570662,PRJNA1067101,SAMN39514678,SARS-CoV-2: wastewater surveillance,81873856,"SYMBIOSIS SCHOOL OF BIOLOGICAL SCINECES, SYMBIOSIS INTERNATIONAL (DEEMED UNIVERSITY)",2022-07-05,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX23335155,India,Asia,"India: Pune-Mumbai Highway Aundh-Sanghvi\, Pune\, Maharashtra",NextSeq 550,wastewater,IP13813,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-01-20T00:00:00Z,2024-01-20T11:36:00Z,1,IP13813,SRP484915,NA,NA,NA,NA,yes,SARS-CoV-2
SRR27667191,AMPLICON,71,121921663,PRJNA1067101,SAMN39514677,SARS-CoV-2: wastewater surveillance,51217884,"SYMBIOSIS SCHOOL OF BIOLOGICAL SCINECES, SYMBIOSIS INTERNATIONAL (DEEMED UNIVERSITY)",2022-06-21,public,"fastq,activ_sars2_vcf,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,gs.us-east1,s3.us-east-1",SRX23335154,India,Asia,"India: Pune-Mumbai Highway Aundh-Sanghvi\, Pune\, Maharashtra",NextSeq 550,wastewater,IP13866,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2024-01-20T00:00:00Z,2024-01-20T11:35:00Z,1,IP13866,SRP484915,NA,NA,NA,NA,yes,SARS-CoV-2
