Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR13289969,AMPLICON,302,3334420958,PRJNA662596,SAMN17138325,Metagenome or environmental,1136236482,ARIZONA STATE UNIVERSITY,City of Tempe,2019-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9719061,USA,North America,USA:Arizona,Illumina HiSeq 2500,WW_R19,wastewater,33.4255 N 111.9400 W,WW_R19,PAIRED,PCR,GENOMIC,metagenome,ILLUMINA,2021-01-22T00:00:00Z,2020-12-23T00:44:00Z,1,WW_R19,SRP281887
SRR12618464,AMPLICON,202,212684386,PRJNA662596,SAMN16090442,Pathogen.env,111045008,ARIZONA STATE UNIVERSITY,University of Louisville,2020-05-14,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX9101557,USA,North America,USA: Kentucky,Illumina HiSeq 2500,WW_Lou6,wastewater,37.8393 N 84.2700 W,WW_Lou6,PAIRED,PCR,GENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-01-22T00:00:00Z,2020-09-09T16:15:00Z,1,WW_Lou6,SRP281887
SRR12618465,AMPLICON,202,248863596,PRJNA662596,SAMN16090361,Pathogen.env,127613449,ARIZONA STATE UNIVERSITY,City of Tempe,2020-05-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9101556,USA,North America,USA: Arizona,Illumina HiSeq 2500,WW_167,wastewater,33.4255 N 111.9400 W,WW_167,PAIRED,PCR,GENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-01-22T00:00:00Z,2020-09-09T15:45:00Z,1,WW_167,SRP281887
SRR12618466,AMPLICON,202,211908908,PRJNA662596,SAMN16090441,Pathogen.env,115032881,ARIZONA STATE UNIVERSITY,University of Louisville,2020-06-09,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX9101555,USA,North America,USA: Kentucky,Illumina HiSeq 2500,WW_Lou43,wastewater,37.8393 N 84.2700 W,WW_Lou43,PAIRED,PCR,GENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-01-22T00:00:00Z,2020-09-09T15:45:00Z,1,WW_Lou43,SRP281887
SRR12618467,AMPLICON,202,233466954,PRJNA662596,SAMN16090440,Pathogen.env,124159198,ARIZONA STATE UNIVERSITY,University of Louisville,2020-06-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9101554,USA,North America,USA: Kentucky,Illumina HiSeq 2500,WW_Lou42,wastewater,37.8393 N 84.2700 W,WW_Lou42,PAIRED,PCR,GENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-01-22T00:00:00Z,2020-09-09T15:45:00Z,1,WW_Lou42,SRP281887
SRR12618468,AMPLICON,202,211029602,PRJNA662596,SAMN16090439,Pathogen.env,109671762,ARIZONA STATE UNIVERSITY,University of Louisville,2020-06-09,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX9101553,USA,North America,USA: Kentucky,Illumina HiSeq 2500,WW_Lou40,wastewater,37.8393 N 84.2700 W,WW_Lou40,PAIRED,PCR,GENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-01-22T00:00:00Z,2020-09-09T15:45:00Z,1,WW_Lou40,SRP281887
SRR12618469,AMPLICON,202,202996466,PRJNA662596,SAMN16090438,Pathogen.env,105785590,ARIZONA STATE UNIVERSITY,University of Louisville,2020-06-09,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX9101552,USA,North America,USA: Kentucky,Illumina HiSeq 2500,WW_Lou39,wastewater,37.8393 N 84.2700 W,WW_Lou39,PAIRED,PCR,GENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-01-22T00:00:00Z,2020-09-09T15:45:00Z,1,WW_Lou39,SRP281887
SRR12618470,AMPLICON,202,191233602,PRJNA662596,SAMN16090437,Pathogen.env,104327474,ARIZONA STATE UNIVERSITY,University of Louisville,2020-06-09,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX9101551,USA,North America,USA: Kentucky,Illumina HiSeq 2500,WW_Lou38,wastewater,37.8393 N 84.2700 W,WW_Lou38,PAIRED,PCR,GENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-01-22T00:00:00Z,2020-09-09T15:45:00Z,1,WW_Lou38,SRP281887
SRR12618471,AMPLICON,202,158817854,PRJNA662596,SAMN16090436,Pathogen.env,82652709,ARIZONA STATE UNIVERSITY,University of Louisville,2020-04-23,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX9101550,USA,North America,USA: Kentucky,Illumina HiSeq 2500,WW_Lou3,wastewater,37.8393 N 84.2700 W,WW_Lou3,PAIRED,PCR,GENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-01-22T00:00:00Z,2020-09-09T16:15:00Z,1,WW_Lou3,SRP281887
SRR12618472,AMPLICON,202,245492620,PRJNA662596,SAMN16090435,Pathogen.env,132263894,ARIZONA STATE UNIVERSITY,University of Louisville,2020-05-28,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9101549,USA,North America,USA: Kentucky,Illumina HiSeq 2500,WW_Lou23,wastewater,37.8393 N 84.2700 W,WW_Lou23,PAIRED,PCR,GENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-01-22T00:00:00Z,2020-09-09T16:16:00Z,1,WW_Lou23,SRP281887
SRR12618473,AMPLICON,202,188799704,PRJNA662596,SAMN16090434,Pathogen.env,99176659,ARIZONA STATE UNIVERSITY,University of Louisville,2020-04-23,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9101548,USA,North America,USA: Kentucky,Illumina HiSeq 2500,WW_Lou2,wastewater,37.8393 N 84.2700 W,WW_Lou2,PAIRED,PCR,GENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-01-22T00:00:00Z,2020-09-09T16:15:00Z,1,WW_Lou2,SRP281887
SRR12618474,AMPLICON,202,263884316,PRJNA662596,SAMN16090433,Pathogen.env,140147330,ARIZONA STATE UNIVERSITY,University of Louisville,2020-05-21,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9101547,USA,North America,USA: Kentucky,Illumina HiSeq 2500,WW_Lou15,wastewater,37.8393 N 84.2700 W,WW_Lou15,PAIRED,PCR,GENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-01-22T00:00:00Z,2020-09-09T15:45:00Z,1,WW_Lou15,SRP281887
SRR12618475,AMPLICON,202,320875586,PRJNA662596,SAMN16090432,Pathogen.env,172504260,ARIZONA STATE UNIVERSITY,University of Louisville,2020-05-21,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX9101546,USA,North America,USA: Kentucky,Illumina HiSeq 2500,WW_Lou13,wastewater,37.8393 N 84.2700 W,WW_Lou13,PAIRED,PCR,GENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-01-22T00:00:00Z,2020-09-09T15:45:00Z,1,WW_Lou13,SRP281887
SRR12618476,AMPLICON,202,150830774,PRJNA662596,SAMN16090360,Pathogen.env,79801927,ARIZONA STATE UNIVERSITY,City of Tempe,2020-05-12,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX9101545,USA,North America,USA: Arizona,Illumina HiSeq 2500,WW_147,wastewater,33.4255 N 111.9400 W,WW_147,PAIRED,PCR,GENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-01-22T00:00:00Z,2020-09-09T16:15:00Z,1,WW_147,SRP281887
SRR12618477,AMPLICON,202,178327216,PRJNA662596,SAMN16090431,Pathogen.env,93450951,ARIZONA STATE UNIVERSITY,University of Louisville,2020-04-23,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX9101544,USA,North America,USA: Kentucky,Illumina HiSeq 2500,WW_Lou1,wastewater,37.8393 N 84.2700 W,WW_Lou1,PAIRED,PCR,GENOMIC,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-01-22T00:00:00Z,2020-09-09T15:45:00Z,1,WW_Lou1,SRP281887
